Age,Annual Income,Loan Amount,Credit Score,Employment Length,Debt-to-Income Ratio,Number of Previous Defaults,Loan Term,Home Ownership,Loan Purpose,Loan Status
56,35795.0,1860,570,7.0,0.3993292420985183,0,36,Rent,Business,1
57,36023.0,42090,608,1.0,0.4609993861334124,1,24,Rent,Personal,1
39,91932.0,28480,774,27.0,0.5868777594207296,0,36,Rent,Auto,0
54,23890.0,42606,320,8.0,0.13252579649263976,1,48,Own,Business,1
19,144243.0,24483,754,7.0,0.1171942605576092,1,48,Rent,Home Improvement,0
59,72995.0,41757,776,17.0,0.48756641168055725,1,48,Own,Auto,1
40,111387.0,2016,595,20.0,0.29433864484474104,0,60,Own,Auto,0
62,125512.0,39044,314,0.0,0.10781820337059697,0,12,Rent,Personal,0
34,53159.0,14986,718,32.0,0.40297998739050567,1,24,Rent,Auto,0
51,72256.0,24599,802,22.0,0.43442062633180367,0,48,Mortgage,Auto,0
54,28110.0,14773,304,25.0,0.21799245987447788,0,36,Own,Business,1
30,142546.0,49702,540,31.0,0.4477580432130638,0,60,Own,Personal,0
24,95450.0,28890,385,27.0,0.5648488261712865,1,12,Rent,Business,1
37,68925.0,43941,630,27.0,0.2781489190384875,1,12,Rent,Business,0
58,29474.0,41294,755,26.0,0.3087055015743895,0,36,Rent,Personal,1
49,115839.0,4304,412,11.0,0.22589114791268208,0,12,Rent,Auto,1
19,123041.0,48323,524,0.0,0.21978094533348622,0,48,Own,Education,1
28,129751.0,13688,593,23.0,0.33515031722301925,2,36,Mortgage,Home Improvement,1
23,71663.0,16708,702,25.0,0.3560465291496405,0,48,Mortgage,Business,0
57,57504.0,2802,772,22.0,0.37072398691378294,0,48,Rent,Auto,0
66,22049.0,32616,603,11.0,0.3791467268035488,1,12,Rent,Home Improvement,0
37,26295.0,13183,719,37.0,0.43449412735711435,0,12,Mortgage,Personal,1
35,97505.0,3869,462,15.0,0.5972287313054103,0,48,Rent,Business,0
25,66214.0,34986,700,32.0,0.3712701152774497,0,60,Own,Auto,0
38,74045.0,33352,583,32.0,0.19762149389902225,0,36,Own,Home Improvement,1
61,144123.0,19589,776,5.0,0.28507935012772223,0,60,Own,Auto,0
50,144019.0,1190,552,20.0,0.19545551557517302,0,36,Rent,Education,0
20,120199.0,37631,587,21.0,0.279323390648082,0,24,Mortgage,Home Improvement,0
60,98069.0,41111,338,28.0,0.24825507182389925,0,24,Mortgage,Auto,0
53,90316.0,3368,811,15.0,0.12538426551969847,1,48,Own,Business,0
68,113848.0,23677,613,21.0,0.22512568025793203,0,36,Rent,Education,0
61,68747.0,22606,495,5.0,0.12584086058430385,0,36,Mortgage,Home Improvement,0
59,103613.0,27258,419,18.0,0.31948571035281803,0,60,Rent,Personal,1
29,94740.0,2081,812,33.0,0.21989367957870162,0,12,Mortgage,Personal,0
56,49375.0,10662,546,2.0,0.22386549475057874,0,60,Rent,Business,1
64,98832.0,31445,752,11.0,0.10858055091587512,0,60,Own,Personal,0
40,124185.0,24049,399,33.0,0.23044681167085698,0,36,Own,Auto,0
21,47663.0,39646,557,27.0,0.3928877906367316,1,48,Rent,Education,1
68,113610.0,39155,716,39.0,0.5526753209780318,0,60,Rent,Business,1
67,120386.0,28350,389,7.0,0.2926983104827825,0,24,Rent,Business,0
67,46092.0,12338,712,35.0,0.30897301585778936,2,48,Rent,Home Improvement,0
66,103042.0,21463,847,17.0,0.22500822460805234,0,60,Rent,Education,0
52,41352.0,47352,361,19.0,0.5132287330538708,0,36,Rent,Personal,0
36,56939.0,5360,754,27.0,0.5750309835254025,2,36,Own,Personal,1
